row_id,tic_id,toi_id,Disposition,RA,Dec,Tmag,Epoc,Period,Duration,Transit Depth,Sectors,camera,ccd,star_rad,star_mass,teff,logg,SN,Qingress
101,29918916,0.01,1,24.74026651,-7.280904542,10.9495,2119.14,4.94665,3.30782,2522.51,29,1,3,1.77698636,0.98,5492.525,3.95071,13.56933,0.146602
102,29960109,0.01,1,42.24929047,-14.53784179,11.2003,1411.67,2.49134,1.40062,2652.24,4,1,1,0.446984,0.443322,3823.085,4.7842,12.88682,0.0806085
103,29960110,0.01,1,42.24697018,-14.53748424,10.9473,1411.67,2.49106,1.3571,2198.17,4,1,1,0.482388,0.480382,3970.68018,4.75286,12.18502,0.0564
104,30122649,0.01,1,133.7482777,-44.28852333,10.0659,1546.32,19.4988,2.99666,801.436,9,3,1,0.8308547,0.87,5165.69,4.53609,8.074277,0.105337
105,30312676,0.01,0,74.28676846,-66.39033353,11.3029,1468.71,1.10455,3.45934,1107.47,6,4,1,,,9610.333,,9.976266,0.118432
106,30329585,0.01,0,289.2387368,31.32376929,10.2026,2392.53,7.50343,2.8732,1278.07,40,1,2,1.29674506,1.203,6048.0874,4.30761,11.25179,0.0933
107,30828562,0.01,1,134.7185158,-43.45288213,8.1327,1520.11,3.11234,2.4288,6387.35,8,3,1,1.92406,2.09,8048,4.18978,193.3849,1.08858
108,31268146,0.01,1,88.07146961,-70.92013136,10.1302,1441.41,3.65167,3.37067,407.6,5,4,2,1.41956079,1.11,5928,4.14534,7.958256,0.12327
109,31374837,0.01,1,83.26916921,-26.72451897,8.1705,1440.63,12.4612,3.30778,2130.19,5,2,2,0.7767392,0.8,4771,4.61853,32.04072,0.132794
110,31515092,0.01,1,115.9188594,-10.25714201,11.8762,2230.7,2.36903,1.87988,1948.75,34,2,3,0.590046942,0.626,4182,4.56359,8.524336,0.075
111,31553893,0.01,1,288.9117556,-31.79074316,9.3781,1663.03,11.1199,6.04059,946.524,13,1,3,3.19130635,1.06,5727.3335,3.38835,10.12694,0.17769
112,31637479,0.01,1,45.91316378,-69.74794907,9.2747,2126.4,14.4949,15.4831,528.571,29,3,4,1.32313991,0.94,5764.967,4.02309,8.680534,0.325058
113,31858843,0.01,1,289.4792984,-32.8599875,10.4293,1655.58,2.97772,3.17113,12045.7,13,1,3,1.25234938,1.025,5522,4.27589,131.539,0.454705
114,32283946,0.01,1,24.1726405,-31.67080489,11.7582,2123.51,14.1265,5.89559,24849.9,29,2,4,1.49398351,1.06,5818.3335,4.12415,109.1586,1.35442
115,32460142,0.01,1,266.1675172,-44.24584356,9.3397,2363.82,10.6895,3.64967,643.396,39,1,2,1.5093987,1.22,5948.6665,4.19885,8.466071,0.093
116,32487566,0.01,1,4.602920114,-15.26729931,10.5853,2090.38,2.75674,2.38086,9248.48,29,1,3,1.41398549,1.12,5726.8667,4.26998,92.36339,0.593142
117,32497972,0.01,1,84.10884938,-24.24385643,11.534,2183.61,10.855,2.29784,1810.27,32,2,2,0.519750535,0.591129,4133.37,4.64805,7.689921,0.147119
118,33091633,0.01,1,104.8759471,-4.812169597,10.2763,2202.7,7.52043,6.47279,11604.4,33,1,1,0.5216809,,6184.645,,90.2747,3.2364
119,33153766,0.01,0,144.7737501,-45.42620912,8.5234,1543.23,0.688333,1.57866,519.885,9,3,2,3.12771678,1.08,5641.3335,3.50138,22.88045,0.0691
120,33350443,0.01,1,266.7466387,-47.20833087,10.8267,2364.14,3.56203,6.14411,4338.43,39,1,2,2.38207722,1.55,6755.26465,3.85746,42.7107,0.364109
121,33692729,0.01,1,93.05819734,-14.65001724,8.7615,1474.57,13.6328,4.33788,1201.07,6,2,3,0.9745095,0.91,5357,4.39253,21.6475,0.133998
122,34068865,0.01,1,146.1243194,-45.77650711,8.03194,1543.49,0.321944,0.647498,228.516,9,3,1,2.48962712,0.454797,5231.57,4.77463,13.64133,0.0091
123,34077285,0.01,1,94.16446909,-13.98743702,9.2563,2205.67,6.38803,2.68914,3503.24,33,2,3,0.7985116,0.81,4982.803,4.52211,45.845,0.169711
124,34551972,0.01,1,44.2333372,28.77148007,10.5873,2448.56,4.85457,5.58759,7877.51,42,1,3,2.58016348,1.63,5993.875,4.03123,80.31475,0.545136
125,35516889,0.01,1,148.4169854,-45.65918222,11.6044,1543.62,0.788845,1.62449,22861.7,9,2,2,1.00119364,0.97,5458.3335,4.40081,171.3734,0.324123
126,35582553,0.01,1,102.2226974,-13.52728802,10.0461,2202.58,0.93585,1.63008,1939.86,33,2,3,2.44196153,1.454,6555.09375,3.82849,28.4848,0.815042
127,35857242,0.01,1,41.63911135,-0.463976852,11.3161,1413.31,3.6346,3.98058,8548.46,4,1,3,1.45840347,1.25,6139.6665,4.22943,53.12941,0.335055
128,36592530,0.01,1,342.3856989,-10.6755354,10.931,2449.43,2.48393,1.89202,9744.92,42,1,1,1.322497,1.14,5893.8374,4.28359,51.557,0.635599
129,36724087,0.01,1,154.6464046,-11.71673377,10.5848,1543.91,0.768464,0.802391,1140.5,9,1,1,0.374139,0.362023,3857.61328,4.85074,12.99969,0.0459
130,36734222,0.01,1,154.9083706,-9.80627864,11.1184,1543.6,0.813471,1.22362,26570.7,9,1,1,0.6629471,0.65,4305.75342,4.49204,281.4829,0.278436
131,37084932,0.01,1,98.1237721,-3.54482967,9.5254,2202.77,6.60282,5.62391,4603.46,33,1,2,2.92734,2.51,8829,3.9048,46.1524,2.81195
132,37117064,0.01,1,90.48815955,-29.13630674,11.4558,2208.33,10.7837,3.88434,6164.78,33,2,1,1.01171,,5309,,25.5492,0.263907
133,37575651,0.01,1,135.3404876,-28.3245796,8.2866,1521.91,19.1937,2.97309,1228.16,8,2,2,,,9422.333,,14.89025,0.178483
134,37770169,0.01,1,94.00965475,-25.03112256,10.6995,1474.49,12.1914,3.31401,2689.76,6,2,2,0.860840142,0.862,5069.6665,4.52401,19.33081,0.285096
135,38161230,0.01,1,171.2359217,-2.085172604,11.7475,2525.91,2.51924,1.28263,2029.65,46,4,3,2.03039,,6397,,11.9033,0.45776
136,38541473,0.01,0,56.30457233,-10.97337739,10.7706,1415.51,6.06135,2.60317,15003.2,4,2,3,1.53442371,1.13,5949.25,4.11771,75.8538,1.30159
137,38603673,0.01,1,64.41495086,-61.39210265,9.5473,1492.77,4.4277,0.722321,885.374,7,4,1,1.97606981,1.36,6706.00635,3.93344,9.551108,0.0253
138,38696105,0.01,1,66.1363122,-60.12997653,10.5041,1387.51,5.54578,3.69085,530.195,3,4,1,1.46926212,1.11,6076.2,4.11953,7.74178,0.0773
139,38846515,0.01,1,68.95970924,-64.02703688,10.3157,1326.75,2.84936,3.79518,7410.33,1,4,1,1.76209438,1.44,6692.90527,4.09825,132.0611,0.414667
140,39200363,0.01,1,261.2439224,32.79812035,10.8571,2012.66,3.83002,2.10948,1332.85,26,1,1,0.680758059,0.65,4246.09668,4.54078,8.489531,0.0957234
141,39699648,0.01,1,136.778074,46.67260091,8.4594,1876.03,6.51595,2.53343,434.584,21,1,2,1.36900151,1.12,5948.025,4.23995,11.83925,0.0525
142,39858507,0.01,1,255.9209189,-30.77005134,8.82719,2364.89,4.62894,5.84029,5147.35,39,1,3,2.38764238,1.375,5978.925,3.88552,135.1964,0.371111
143,39903405,0.01,1,245.1514913,41.04808585,8.27468,1956.24,5.63331,4.25294,5259.74,24,2,4,1.73303926,1.29,6338.34961,4.08576,118.7337,0.309372
144,40083958,0.01,1,7.387253493,-10.46848611,10.9994,2116.05,0.630055,0.514921,1586.48,29,1,4,0.774225,0.961,5485,4.64306,17.41383,0.0246
145,41387532,0.01,1,256.4401712,-30.81672167,9.50494,2367.62,11.4042,1.7479,2216.72,39,1,3,3.24710155,1.172,5478.75,3.55136,13.48965,0.873948
146,42755801,0.01,0,96.79395621,-4.780081928,9.1672,2204.19,4.34395,6.22418,1436.94,33,1,2,3.82895,2.53,9323,3.67503,29.8341,3.11209
147,43647325,0.01,1,76.08180172,-6.229826703,10.4408,1440.12,3.16158,3.14075,17458.9,5,1,2,1.1285342,1.135,5903.967,4.41206,310.9032,0.375207
148,44313455,0.01,1,267.04687,15.97965086,11.0768,2014.83,9.30174,2.22441,1589.53,26,1,3,0.363966,0.350325,3682.14014,4.86042,7.277846,0.0803
149,44631965,0.01,1,22.23622505,35.86481371,11.3805,1767.32,3.56869,2.59183,20269.3,17,1,1,1.31614423,1.12,5886,4.26929,80.82983,0.828219
150,44792534,0.01,1,61.94108623,-25.2086753,9.77919,2145.22,3.68436,4.76286,2315.64,31,2,2,1.99528384,1.03,5597.4,3.87852,47.86456,0.213553
151,44797824,0.01,1,62.45451203,-26.02197664,9.7976,1411.31,11.9917,2.39646,4628.4,4,2,2,1.21043372,0.95,5368.957,4.25856,13.76182,0.141296
152,46096489,0.01,1,214.683011,-20.27551173,10.6481,1598.07,3.11861,2.07394,12175.4,11,1,4,1.08986413,1.02,5561,4.38737,96.13139,0.666069
153,46631742,0.01,1,54.18379985,28.55046459,11.5278,2450.13,2.66056,2.09719,1317.39,46,1,4,0.7155001,0.736,4716.11,4.49603,9.868962,0.0674429
154,47525799,0.01,1,343.8797203,-24.4096526,11.0316,1355.12,25.6403,5.3434,3949.35,2,1,4,0.6898574,0.796,4921.6665,4.63552,20.63787,2.6717
155,47617161,0.01,1,220.4268003,-33.82613339,10.7565,2335.08,3.91924,2.26418,5066.88,38,1,3,,,5149.045,,47.05291,0.409559
156,47911178,0.01,1,98.35111367,-23.4861936,9.79059,1470.3,3.58561,2.71931,11889.5,6,2,2,1.33215392,1.277,6370.6,4.28645,159.0515,0.544999
157,48018596,0.01,1,281.5766148,50.49235014,9.00772,1713.45,14.5204,1.70531,856.171,15,2,2,1.474297,1.005,5641,4.10485,9.993198,0.0511
158,48476907,0.01,1,150.1529206,-34.68195017,9.5359,1543.7,4.72018,1.64706,1705.49,9,2,1,1.720818,1.31,6100.55029,4.14638,14.19205,0.823528
159,48476908,0.01,1,150.1541351,-34.68155492,10.245,1543.7,4.72016,1.67985,3262.73,9,2,1,1.48452127,1.2,5960.3335,4.21025,14.02263,0.839923
160,48506505,0.01,1,285.2685656,48.55998462,11.8933,2420.81,7.79134,0.898813,3403.62,41,2,3,0.893741131,0.95,5429.5,4.50982,8.029444,0.239873
161,49079670,0.01,1,101.0718482,-23.81928937,9.90377,2202.82,1.89349,1.24813,859.967,33,2,2,1.11269283,1.002,5459,4.40127,13.9912,0.0547831
162,49428710,0.01,1,174.1094675,-2.023045829,10.6309,2527.3,12.2199,4.71663,1735.37,46,4,3,1.15928948,1,5474,4.35958,17.00205,0.183669
163,49687222,0.01,1,351.7055039,-11.72537486,9.8343,1360.07,20.1598,2.75272,713.071,2,1,3,2.58036613,,5718.6333,,8.162353,0.0675
